verse_number,chapter_number,chapter_name_vi,chapter_name_ja,vi,ja
39,3,Pham Tam,心品,"Tâm không đầy tràn dục,
Tâm không (hận) công phá,
Ðoạn tuyệt mọi thiện ác,
Kẻ tỉnh không sợ hãi.",心に煩悩なく、思慮惑乱せず、善悪を超脱し、覚醒せる人には恐怖なし。
40,3,Pham Tam,心品,"Biết thân như đồ gốm,
Trú tâm như thành trì,
Chống Ma với gươm trí ;
Giữ chiến thắng [3] không tham [4]","この身は水瓶の如く〔脆し〕と知り、この心を城郭の如く安立せしめ、智慧の武器を以て魔王と戦うべし。
調伏してはこれを監視し
懈怠
すべからず。"
41,3,Pham Tam,心品,"Không bao lâu thân này,
Sẽ nằm dài trên đất,
Bị vất bỏ, vô thức,
Như khúc cây vô dụng.",実に久しからずしてこの身は地上に横たわるべし、意識なく、無用の木片の如く捨てられて。
42,3,Pham Tam,心品,"Kẻ thù hại kẻ thù,
Oan gia hại oan gia,
Không bằng tâm hướng tà, [5]
Gây ác cho tự thân.","仇敵が仇敵に対し、怨敵が怨敵に対し、いかなる〔悪を〕なすにもせよ、邪悪に止住する心は、更に大なる
悪
を人になすべし。"
43,3,Pham Tam,心品,"Ðiều mẹ cha bà con,
Không có thể làm được,
Tâm hướng chánh làm được
Làm được tốt đẹp hơn.","父・母、はたまた他の親族のなす〔善〕にも勝り、正道に止住する心は、更に大なる
善
を人になすべし。"
44,4,Pham Hoa,花品,"“Ai chinh phục đất này
Dạ ma, Thiên giới này?
Ai khéo giảng Pháp cú,
Như người khéo hái hoa?”","誰かこの地界と閻魔界と天界とを征服する。
誰か妙説の法句を摘み集むること、熟練せる人の花を〔摘む〕如くする。"
45,4,Pham Hoa,花品,"“Hữu học chinh phục đất,
Dạ ma, Thiên giới này.
Hữu học giảng Pháp cú,
Như người khéo hái hoa.”","仏教を修する者は、この地界と閻魔界と天界とを征服せん。
仏教を修する者は、妙説の法句を摘み集むること、熟練せる人の花を〔摘む〕如くせん。"
46,4,Pham Hoa,花品,"“Biết thân như bọt nước,
Ngộ thân là như huyễn,
Bẻ tên hoa của ma,
Vượt tầm mắt thần chết.”","この身は泡沫に譬うべきを知り、幻影に等しきを悟る人は、魔王の花矢（誘惑）を破り、〔
地獄
の〕死王（
閻魔
）に見ゆることなけん。"
47,4,Pham Hoa,花品,"“Người nhặt các loại hoa,
Ý đắm say, tham nhiễm,
Bị thần chết mang đi,
Như lụt trôi làng ngủ.”","花（快楽）をのみ摘みて心貪着せる人を、死は捉え去る、あたかも眠れる村落を瀑流の〔
漂蕩
し去る〕如く。"
48,4,Pham Hoa,花品,"Người nhặt các loại hoa,
Ý đắm say tham nhiễm,
Các dục chưa thỏa mãn,
Ðã bị chết chinh phục.”",花をのみ摘みて心貪着し、愛欲に飽くことなき人を死は克服す。
49,4,Pham Hoa,花品,"“Như ong đến với hoa,
Không hại sắc và hương,
Che chở hoa, lấy nhụy.
Bậc Thánh đi vào làng “.",蜜蜂の、花と色と香りとを損なうことなく、甘味のみを取り去る如く、かく智者は村落に乞食すべし。
50,4,Pham Hoa,花品,"“Không nên nhìn lỗi người,
Người làm hay không làm.
Nên nhìn tự chính mình.
Có làm hay không làm.”","他の非違を〔観る〕べからず、他の為せること、為さざりしことを〔観る〕べからず。
ただ自己の為せること（罪過）為さざりしこと（
懈怠
）を観るべし。"
51,4,Pham Hoa,花品,"“Như bông hoa tươi đẹp,
Có sắc nhưng không hương.
Cũng vậy, lời khéo nói,
Không làm, không kết quả.”",愛すべく色麗しくとも芳香なき花の如く、実行なき人の語は、善く説かるるとも効果なし。
52,4,Pham Hoa,花品,"“Như bông hoa tươi đẹp,
Có sắc lại thêm hương;
Cũng vậy, lời khéo nói,
Có làm, có kết quả.”",愛すべく色麗しく芳香ある花の如く、実行する人の語は、善く説かれてしかも効果あり。
53,4,Pham Hoa,花品,"“Như từ một đống hoa,
Nhiều tràng hoa được làm.
Cũng vậy, thân sanh tử,
Phải làm nhiều việc lành.”",堆積せる花より、多くの華鬘を造り得る如く、人と生まれては多くの善事をなすべし。
54,4,Pham Hoa,花品,"“Hương các loại hoa thơm
Không ngược bay chiều gió
Nhưng hương người đức hạnh
Ngược gió khắp tung bay
Chỉ có bậc chân nhân
Tỏa khắp mọi phương trời.”","花の香りは風に逆らいて進まず、
栴檀
・
多伽羅
または
茉莉花
（香木の名）の〔香り〕も〔また然り〕。
されど善人の香りは風に逆らいても進み、正しき人は一切方に薫ず。"
55,4,Pham Hoa,花品,"“Hoa chiên đàn, già la,
Hoa sen, hoa vũ quý,
Giữa những hương hoa ấy,
Giới hương là vô thượng.”",栴檀または多伽羅・青蓮華はたまたヴァッシキー（香木の名）、これらの諸香の中、戒の香り最も勝れたり。
56,4,Pham Hoa,花品,"“Ít giá trị hương này,
Hương già la, chiên đàn;
Chỉ hương người đức hạnh,
Tối thượng tỏa Thiên giới.”","多伽羅・栴檀に属するその香りは軽微なり。
されど持戒者の香りは最上にして諸天の間に薫ず。"
57,4,Pham Hoa,花品,"“Nhưng ai có giới hạnh,
An trú không phóng dật,
Chánh trí, chơn giải thoát,
Ác ma không thấy đường.”",戒行を成就し、不放逸に住し、正智により解脱せる者には、魔王も近づくあたわず。
58,4,Pham Hoa,花品,"“Như giữa đống rác nhớp,
Quăng bỏ trên đường lớn,
Chỗ ấy hoa sen nở,
Thơm sạch, đẹp ý người.”","大道に捨てられたる塵埃の堆積中に、芳香
馥郁
として美しき蓮華の生ずる如く、"
59,4,Pham Hoa,花品,"“Cũng vậy giữa quần sanh,
Uế nhiễm, mù, phàm tục,
Ðệ tử bậc Chánh Giác,
Sáng ngời với Tuệ Trí.”",この如く、塵埃にも等しき盲昧の凡夫中に、正等覚者の弟子は智慧を以て輝く。
60,5,Pham Ngu,愚品,"“Ðêm dài cho kẻ thức,
Ðường dài cho kẻ mệt,
Luân hồi dài, kẻ ngu,
Không biết chơn diệu pháp.”","不眠者には夜長く、疲れたる人には一
由旬
（距離の単位）も長く、正法を知らざる愚者には流転長し。"
61,5,Pham Ngu,愚品,"“Tìm không được bạn đường,
Hơn mình hay bằng mình,
Thà quyết sống một mình,
Không bè bạn kẻ ngu.”","道を歩みて自己に勝る人、自己に等しき人に逢わざれば、敢えて独り行くべし。
愚者は断じて伴侶となすべからず。"
62,5,Pham Ngu,愚品,"“Con tôi, tài sản tôi,
Người ngu sanh ưu não,
Tự ta, ta không có,
Con đâu, tài sản đâu.”","「我に子あり、我に財あり」とて愚者は悩む。
自己すでに自分のものにあらず。
況んやいかで子をや、いかで財をや。"
63,5,Pham Ngu,愚品,"“Người ngu nghĩ mình ngu,
Nhờ vậy thành có trí.
Người ngu tưởng có trí,
Thật xứng gọi chí ngu.”","愚者にして〔自ら〕その愚を知るものは、これによりて既に賢なり。
されど愚者にして〔自ら〕賢なりと思うものは、実に〔真の〕愚者と称せらる。"
64,5,Pham Ngu,愚品,"“Người ngu, dầu trọn đời,
Thân cận người có trí,
Không biết được Chánh pháp,
Như muỗng với vị canh.”",たとい終生賢者に侍すとも、愚者は正法を悟らざること、あたかも食匙の香味に於けるが如し。
65,5,Pham Ngu,愚品,"“Người trí, dầu một khắc,
Thân cận người có trí,
Biết ngay chân diệu pháp,
Như lưỡi với vị canh.”",たとい一瞬賢者に侍すとも、智者は直ちに正法を悟ること、あたかも舌の香味に於けるが如し。
66,5,Pham Ngu,愚品,"“Người ngu si thiếu trí,
Tự ngã thành kẻ thù.
Làm các nghiệp không thiện,
Phải chịu quả đắng cay.”",無知なる愚者は自己に対し仇敵の如く振る舞う、苦果をもたらす悪業を行いつつ。
67,5,Pham Ngu,愚品,"“Nghiệp làm không chánh thiện,
Làm rồi sanh ăn năn,
Mặt nhuốm lệ, khóc than,
Lãnh chịu quả dị thục.”",行いて後悔い、顔に涙し、哭泣してその果報をうく、かかる業は善くなされたるものにあらず。
68,5,Pham Ngu,愚品,"“Và nghiệp làm chánh thiện,
Làm rồi không ăn năn,
Hoan hỷ, ý đẹp lòng,
Hưởng thọ quả dị thục.”",されど行いて後悔いず、歓喜愉悦してその果報をうく、かかる業は善くなされたるものなり。
69,5,Pham Ngu,愚品,"“Người ngu nghĩ là ngọt,
Khi ác chưa chín muồi;
Ác nghiệp chín muồi rồi,
Người ngu chịu khổ đau.”","悪業の未だ熟せざる間、愚者はそを蜜の如く思惟す。
されど悪業の熟するや、愚者はその時に至りて苦悩す。"
70,5,Pham Ngu,愚品,"“Tháng tháng với ngọn cỏ,
Người ngu có ăn uống
Không bằng phần mười sáu
Người hiểu pháp hữu vi.”",愚者は〔節食して〕月に月に（数ヶ月間毎日）、クサ草の先端を以て食を取るとも、彼は正法を思量する者の十六分の一にも値せず。
71,5,Pham Ngu,愚品,"“Nghiệp ác đã được làm,
Như sữa, không đông ngay,
Cháy ngầm theo kẻ ngu,
Như lửa tro che đậy.”","犯したる悪業は、牛乳の如く直ちに凝固せず。
灰に覆われたる火の如く、燃えつつ愚者に従う。"
72,5,Pham Ngu,愚品,"“Tự nó chịu bất hạnh,
Khi danh đến kẻ ngu.
Vận may bị tổn hại,
Ðầu nó bị nát tan.”",思慮生じて〔かえって〕愚者の災厄となる、そは彼の頭を砕きつつ、愚者の幸福を滅ぼす。
73,5,Pham Ngu,愚品,"“Ưa danh không tương xứng,
Muốn ngồi trước tỷ kheo,
Ưa quyền tại tịnh xá,
Muốn mọi người lễ kính.”",〔愚者をして〕虚名を欲せしめよ、比丘衆の間にありては上位を、僧院に於ては主権を、他人（在家衆）の間に於ては供養を〔欲せしめよ〕。
74,5,Pham Ngu,愚品,"“Mong cả hai tăng, tục,
Nghĩ rằng (chính ta làm).
Trong mọi việc lớn nhỏ,
Phải theo mệnh lệnh ta ”
Người ngu nghĩ như vậy
Dục và mạn tăng trưởng.","「こは我により為されたりと、在家も
出家
も共に考うべし、彼らは為すべきこと、為すべからざること、何事に於てもわが意に従うべし」とは、愚者の思惟なり。
〔この故に〕欲心と慢心とは増長す。"
75,5,Pham Ngu,愚品,"“Khác thay duyên thế lợi,
Khác thay đường Niết Bàn.
Tỷ kheo, đệ tử Phật,
Hãy như vậy thắng tri.
Chớ ưa thích cung kính,
Hãy tu hạnh viễn ly.”",一は利得に導く〔道〕にして、一は涅槃に至る〔道〕なりと、かく仏弟子たる比丘は悟りて、尊敬を喜ぶべからず、遠離に専心すべし。
76,6,Pham Hien Tri,賢品,"Nếu thấy bậc hiền trí,
Chỉ lỗi và khiển trách,
Như chỉ chỗ chôn vàng
Hãy thân cận người trí!
Thân cận người như vậy,
Chỉ tốt hơn, không xấu.","罪過を指示し呵責する智者を見ば、かかる賢者と交わること、伏蔵を告ぐる人に於けるが如くせよ。
かかる人と交わる者には善きことありて、悪しきことなし。"
77,6,Pham Hien Tri,賢品,"“Những người hay khuyên dạy,
Ngăn người khác làm ác,
Ðược người hiền kính yêu,
Bị người ác không thích.”","訓戒すべし、教示すべし。
不当の事より〔他人を〕遠ざくべし。
かかる人は実に善人の愛するところ、悪人の憎むところとなる。"
78,6,Pham Hien Tri,賢品,"“Chớ thân với bạn ác,
Chớ thân kẻ tiểu nhân.
Hãy thân người bạn lành,
Hãy thân bậc thượng nhân.”","悪友と交わるべからず、下劣の人を友とすべからず。
善友と交わるべし、最上の人を友とすべし。"
79,6,Pham Hien Tri,賢品,"“Pháp hỷ đem an lạc,
Với tâm tư thuần tịnh;
Người trí thường hoan hỷ,
Với pháp bậc Thánh thuyết.”","法〔水〕を飲む者は、清澄なる心を以て快適に臥す。
賢者は常に聖者の説ける法を楽しむ。"
80,6,Pham Hien Tri,賢品,"“Người trị thủy dẫn nước,
Kẻ làm tên nắn tên,
Người thợ mộc uốn gỗ,
Bậc trí nhiếp tự thân.”","治水者は水を導き、箭匠は
箭
を矯め、木匠は木を矯め、賢者は自己を
調御
す。"
81,6,Pham Hien Tri,賢品,"“Như đá tảng kiên cố,
Không gió nào giao động,
Cũng vậy, giữa khen chê,
Người trí không giao động.”",固き巌の風に揺るがざるが如く、賢者は毀誉の中に於て動かず。
82,6,Pham Hien Tri,賢品,"“Như hồ nước sâu thẳm,
Trong sáng, không khuấy đục,
Cũng vậy, nghe chánh pháp,
Người trí hưởng tịnh lạc.”",深き池の静かにして澄める如く、賢者は法を聞きて心清澄なり。
83,6,Pham Hien Tri,賢品,"“Người hiền bỏ tất cả,
Người lành không bàn dục,
Dầu cảm thọ lạc khổ,
Bậc trí không vui buồn.”","善人はあらゆるものに於て離欲し、善人は欲を求めて語らず。
楽に触るるも、また苦に触るるも、賢者は動ずる色なし。"
84,6,Pham Hien Tri,賢品,"“Không vì mình, vì người.
Không cầu được con cái,
Không tài sản quốc độ,
Không cầu mình thành tựu,
Với việc làm phi pháp.
Vị ấy thật trì giới,
Có trí tuệ, đúng pháp.”","自己の為にも他の為にも、子と財と国土とを望むべからず。
不法によりて自己の繁栄を願うべからず。
これ戒行・智慧・正法を備うる人なり。"
85,6,Pham Hien Tri,賢品,"“Ít người giữa nhân loại,
Ðến được bờ bên kia
Còn số người còn lại,
Xuôi ngược chạy bờ này.”","人間の中、
彼岸
（涅槃）に到達する人は少なし。
此方（生死界）にある他の衆生は、ただ岸に沿いて走るのみ。"
86,6,Pham Hien Tri,賢品,"“Những ai hành trì pháp,
Theo chánh pháp khéo dạy,
Sẽ đến bờ bên kia,
Vượt ma lực khó thoát.”","法の正しく説かれたる時、〔その〕法に従う人は彼岸に至らん。
死の境域（生死界）は実に越え難し。"
87,6,Pham Hien Tri,賢品,"Kẻ trí bỏ pháp đen,
Tu tập theo pháp trắng.
Bỏ nhà, sống không nhà,
Sống viễn ly khổ lạc.”","賢者は黒法（悪）を捨てて、白法（善）を修すべし。
家より〔出でて〕、家なき境界に至り、
孤独
にして〔欲〕楽なき処に、"
88,6,Pham Hien Tri,賢品,"“Hãy cầu vui Niết Bàn,
Bỏ dục, không sở hữu,
Kẻ trí tự rửa sạch,
Cấu uế từ nội tâm.”","〔法〕楽を求むべし。
賢者は諸欲を捨て、無一物となり、自己を心垢より浄むべし。"
89,6,Pham Hien Tri,賢品,"“Những ai với chánh tâm,
Khéo tu tập giác chi,
Từ bỏ mọi ái nhiễm,
Hoan hỷ không chấp thủ.
Không lậu hoặc, sáng chói,
Sống tịch tịnh ở đời.”","菩提
の支分（七菩提分）に於て心を正しく修養し、執着なく、貪着を捨つるを喜び、煩悩を滅尽して輝く人は、現世に於て涅槃に入れるなり。"
90,7,Pham A-La-Han,阿羅漢品,"“Ðích đã đến, không sầu,
Giải thoát ngoài tất cả,
Ðoạn trừ mọi buộc ràng,
Vị ấy không nhiệt não.”","〔有為の〕路を終えて憂患を離れ、一切に於て解脱し、一切の
繋縛
を断ちたる人には苦悩なし。"
91,7,Pham A-La-Han,阿羅漢品,"“Tự sách tấn, chánh niệm,
Không thích cư xá nào,
Như ngỗng trời rời ao,
Bỏ sau mọi trú ẩn.”","正念ある人は出家し、彼らは在家を喜ばず。
池を捨て去る鵞鳥の如く、彼らはいずれの家をも捨つ。"
92,7,Pham A-La-Han,阿羅漢品,"“Tài sản không chất chứa,
Ăn uống biết liễu tri,
Tự tại trong hành xứ,
“Không vô tướng, giải thoát, ”
Như chim giữa hư không,
Hướng chúng đi khó tìm.”",蓄積することなく、正念食をなし、空にして無相の解脱を境とする人の道は、虚空に於ける鳥の〔道〕の如く、追随し難し。
93,7,Pham A-La-Han,阿羅漢品,"“Ai lậu hoặc đoạn sạch,
Ăn uống không tham đắm,
Tự tại trong hành xứ,
“Không, vô tướng giải thoát. ”
Như chim giữa hư không,
Dấu chân thật khó tìm. ”",煩悩を滅尽し、飲食に捉われず、空にして無相の解脱を境とする人の跡は、虚空に於ける鳥の〔跡〕の如く、追随し難し。
94,7,Pham A-La-Han,阿羅漢品,"“Ai nhiếp phục các căn,
Như đánh xe điều ngự,
Mạn trừ, lậu hoặc dứt,
Người vậy, Chư Thiên mến.”","諸根寂静に帰して、御者によく
調御
せられし馬の如く、慢を断ち、煩悩を滅尽せる人、天神といえどもこの如き人を羨む。"
95,7,Pham A-La-Han,阿羅漢品,"“Như đất, không hiềm hận,
Như cột trụ, kiên trì,
Như hồ, không bùn nhơ,
Không luân hồi, vị ấy.”","敬虔なる聖者は、
忍辱
なること大地の如く、また門閾に似たり。
〔浄きこと〕泥土なき池〔水〕の如し。
この如き人には
輪廻
あることなし。"
96,7,Pham A-La-Han,阿羅漢品,"“Người tâm ý an tịnh,
Lời an, nghiệp cũng an,
Chánh trí, chơn giải thoát,
Tịnh lạc là vị ấy.”","正智によりて解脱し、安穏を得たる聖者の意は寂静なり。
語もまた業も寂静なり。"
